index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Actb-74881516
314,65517,1048,58,34,23,1,5,6,6,0.14526612
315,65518,978,59,34,23,0,0,4,10,0.15860687
316,65519,978,60,34,23,1,5,6,6,0.14671122
317,65520,978,61,34,23,0,0,0,10,0.15814611
318,65522,1107,63,34,23,1,5,1,9,0.13977987
319,65523,1107,64,34,23,3,3,3,8,0.0698686
320,65579,661,53,35,23,3,1,1,12,0.13035068
321,65580,661,54,35,23,1,5,6,6,0.1443833
322,65581,661,55,35,23,0,0,0,0,0.15407647
323,65582,978,56,35,23,3,1,5,5,0.1260349
324,65583,978,57,35,23,3,1,1,12,0.13053209
325,65584,978,58,35,23,1,5,6,9,0.14147665
326,65585,978,59,35,23,0,0,0,10,0.15614823
327,65586,978,60,35,23,0,0,0,0,0.15440184
328,65647,661,54,36,23,0,0,0,0,0.15288696
329,65648,661,55,36,23,0,4,4,4,0.16578685
330,65649,978,56,36,23,1,5,1,9,0.13964397
331,65650,978,57,36,23,1,5,6,9,0.14174277
332,65651,978,58,36,23,0,0,4,10,0.15956512
333,65652,978,59,36,23,0,4,4,4,0.16435505
334,65718,978,58,37,23,0,0,4,10,0.15983583
335,65719,978,59,37,23,1,5,1,1,0.13700226
336,67657,852,54,25,24,2,4,7,7,0.1726555
337,67724,852,54,26,24,1,5,6,6,0.14522174
338,67792,852,55,27,24,1,5,1,1,0.13710746
339,67794,136,57,27,24,0,4,4,4,0.16741912
340,67797,852,60,27,24,2,4,7,4,0.16851705
341,67798,852,61,27,24,2,2,7,2,0.17760608
342,67799,852,62,27,24,2,2,2,11,0.18994263
343,67800,1098,63,27,24,2,2,2,11,0.1938882
344,67801,1098,64,27,24,2,2,7,2,0.1760853
345,67858,136,54,28,24,3,3,3,3,0.1061174
346,67859,852,55,28,24,3,3,5,5,0.117231764
347,67860,852,56,28,24,1,5,1,1,0.13802722
348,67861,136,57,28,24,0,0,0,0,0.15123631
349,67862,136,58,28,24,0,0,0,10,0.1574416
350,67863,136,59,28,24,0,0,0,10,0.15673639
351,67864,852,60,28,24,0,0,4,10,0.16065776
352,67865,136,61,28,24,2,4,7,7,0.17250732
353,67866,136,62,28,24,2,2,7,2,0.1779324
354,67867,136,63,28,24,2,4,7,7,0.17374992
355,67868,136,64,28,24,0,0,4,10,0.15865582
356,67869,1098,65,28,24,1,5,6,9,0.14170136
357,67925,136,54,29,24,3,3,5,3,0.114782035
358,67926,136,55,29,24,3,3,5,3,0.11657186
359,67927,136,56,29,24,3,1,5,5,0.12065793
360,67928,136,57,29,24,1,1,1,1,0.13327405
361,67929,136,58,29,24,1,5,6,6,0.14808524
362,67930,136,59,29,24,0,0,0,0,0.15265003
363,67931,136,60,29,24,0,0,0,0,0.15282075
364,67932,136,61,29,24,0,0,0,10,0.1563385
365,67933,136,62,29,24,0,0,4,10,0.15894708
366,67934,136,63,29,24,0,0,0,10,0.15732384
367,67935,136,64,29,24,1,0,6,6,0.14893107
368,67992,136,54,30,24,3,1,5,12,0.12860824
369,67993,136,55,30,24,3,1,5,5,0.12265928
370,67994,136,56,30,24,3,3,3,3,0.11156713
371,67995,136,57,30,24,3,1,5,12,0.12690057
372,67996,136,58,30,24,1,5,6,6,0.1456942
373,67997,136,59,30,24,0,0,0,10,0.15752937
374,67998,1048,60,30,24,0,0,0,10,0.15601845
